index,room_id,host_id,room_type,country,city,neighborhood,address,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,deleted,minstay,last_modified,latitude,longitude,survey_id,location,coworker_hosted,extra_host_languages,name,property_type,currency,rate_type
101,15317526,91795847,Private room,,,,"San Nicolas, Buenos Aires, Argentina",14,4.5,2,1.0,0.0,202.0,0,,2018-02-08T16:55:36Z,-34.602978,-58.384396,1,0101000020E61000004B5B5CE333314DC08F1A13622E4D41C0,,,_Very Central *Easy Transport *Simple Quiet*Sober*,Apartment,ARS,nightly
102,21826518,159110743,Private room,,,,"Balvanera, Buenos Aires, Argentina",0,,1,1.0,1.0,202.0,0,,2018-02-08T17:13:01Z,-34.616378,-58.392517,1,0101000020E6100000E00F3FFF3D324DC0A8FC6B79E54E41C0,,,La casa de Laura,Apartment,ARS,nightly
103,22544077,165611651,Private room,,,,"Villa Crespo, Buenos Aires, Argentina",0,,1,1.0,1.0,202.0,0,,2018-02-08T16:55:36Z,-34.601895,-58.451764,1,0101000020E61000004CC11A67D3394DC01E5036E50A4D41C0,,,Habitacion Villa Crespo,Dorm,ARS,nightly
104,5625753,29157914,Private room,,,,"Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina",0,,1,1.0,1.0,202.0,0,,2018-02-08T16:55:36Z,-34.641817,-58.372175,1,0101000020E6100000C4B12E6EA32F4DC02882380F275241C0,,,Habitación privada en pleno corazón porteño,House,ARS,nightly
105,9880713,46365656,Private room,,,,"Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina",3,4.5,1,1.0,1.0,202.0,0,,2018-02-08T16:55:36Z,-34.624957,-58.429844,1,0101000020E6100000E030D12005374DC001344A97FE4F41C0,,,Bright room in large house.,House,ARS,nightly
106,22495004,162004573,Private room,,,,"Balvanera, Buenos Aires, Argentina",2,,2,1.0,2.0,202.0,0,,2018-02-08T16:55:36Z,-34.600911,-58.397665,1,0101000020E6100000C6E1CCAFE6324DC04167D2A6EA4C41C0,,,Habitación privada en cómodo departamento,Apartment,ARS,nightly
107,22673492,43022996,Private room,,,,"Boedo, Buenos Aires, Argentina",0,,1,1.0,1.0,202.0,0,,2018-02-08T16:55:36Z,-34.631276,-58.424983,1,0101000020E6100000902DCBD765364DC0F65FE7A6CD5041C0,,,Hogar en Boedo,House,ARS,nightly
108,22166579,161909224,Private room,,,,"Balvanera, Buenos Aires, Argentina",0,,2,2.0,1.0,202.0,0,,2018-02-08T16:59:18Z,-34.612007,-58.393513,1,0101000020E610000082C64CA25E324DC027F6D03E564E41C0,,,Departamento acogedor zona de los dos Congreso.,Apartment,ARS,nightly
109,22222638,24445130,Private room,,,,"Monserrat, Buenos Aires, Argentina",0,,2,1.0,2.5,283.0,0,,2018-02-08T17:16:17Z,-34.614424,-58.383706,1,0101000020E6100000B5A338471D314DC052F01472A54E41C0,,,Residencia de arte y casa en Monserrat,House,ARS,nightly
110,22967796,72595577,Private room,,,,"Almagro, Buenos Aires, Argentina",0,,2,1.0,1.0,222.0,0,,2018-02-08T17:16:17Z,-34.600492,-58.415514,1,0101000020E6100000DC8310902F354DC03CC1FEEBDC4C41C0,,,Beauty House in Almagro/Palermo - only women,House,ARS,nightly
111,1399290,7557522,Private room,,,,"Buenos Aires, Argentina",0,,1,1.0,1.0,202.0,0,,2018-02-08T17:07:19Z,-34.615302,-58.400175,1,0101000020E6100000A1D634EF38334DC0EA944737C24E41C0,,,Alquiler habitación,Apartment,ARS,nightly
112,10521273,54247008,Private room,,,,"Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina",22,4.5,2,1.0,1.0,202.0,0,,2018-02-08T17:07:19Z,-34.608704,-58.404315,1,0101000020E610000020240B98C0334DC0E2783E03EA4D41C0,,,Habitación privada en amplio depto.,Apartment,ARS,nightly
113,18181243,123782725,Private room,,,,"Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina",4,5.0,1,1.0,1.0,202.0,0,,2018-02-08T17:13:01Z,-34.624965,-58.388802,1,0101000020E6100000484F9143C4314DC0841266DAFE4F41C0,,,Single room,Condominium,ARS,nightly
114,23091164,171483747,Private room,,,,"Palermo, Buenos Aires, Argentina",1,,2,1.0,1.0,303.0,0,,2018-02-08T17:32:25Z,-34.576888,-58.411611,1,0101000020E610000041D653ABAF344DC038BA4A77D74941C0,,,Dormitorio privado - Palermo Chico,Apartment,ARS,nightly
115,21860407,13359228,Private room,,,,"Monserrat, Buenos Aires, Argentina",2,,16,50.0,45.0,303.0,0,,2018-02-08T17:18:55Z,-34.614998,-58.379868,1,0101000020E61000000266BE839F304DC07E8D2441B84E41C0,,,Hostelmo - Private Room w/shared bathrooms,Boutique hotel,ARS,nightly
116,19876084,70862525,Private room,,,,"Palermo, Buenos Aires, Argentina",0,,2,1.0,1.0,262.0,0,,2018-02-08T17:32:25Z,-34.584219,-58.415845,1,0101000020E6100000419AB1683A354DC0D5592DB0C74A41C0,,,"Private Bedroom in Palermo, Buenos Aires",Apartment,ARS,nightly
117,22225341,45244548,Private room,,,,"Buenos Aires, CABA, Argentina",3,4.5,2,1.0,1.0,303.0,0,,2018-02-08T17:32:25Z,-34.584279,-58.423764,1,0101000020E61000006F9C14E63D364DC0AB5E7EA7C94A41C0,,,Big room in Palermo,Apartment,ARS,nightly
118,19376585,92480170,Private room,,,,"Almagro, Buenos Aires, Argentina",0,,1,1.0,1.0,202.0,0,,2018-02-08T17:07:22Z,-34.606833,-58.419023,1,0101000020E6100000CBA2B08BA2354DC0199128B4AC4D41C0,,,Excelente ubicación! / Habitación,Apartment,ARS,nightly
119,5343019,26068740,Private room,,,,"Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina",0,,1,1.0,2.0,202.0,0,,2018-02-08T17:07:22Z,-34.608167,-58.421696,1,0101000020E6100000506D7022FA354DC0D3C08F6AD84D41C0,,,Depto. en pleno corazón de Almagro,Apartment,ARS,nightly
120,8049067,42506660,Private room,,,,"Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina",1,,1,1.0,1.0,202.0,0,,2018-02-08T17:07:22Z,-34.600263,-58.422674,1,0101000020E61000004C6F7F2E1A364DC0DAFF006BD54C41C0,,,El Cuartito en Gascón,Apartment,ARS,nightly
121,12113299,64969737,Private room,,,,"Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina",0,,1,1.0,1.0,202.0,0,,2018-02-08T17:07:22Z,-34.607667,-58.410268,1,0101000020E6100000344C6DA983344DC0E1ED4108C84D41C0,,,ZONA DE FACULTADES,Apartment,ARS,nightly
122,18226157,102932740,Private room,,,,"Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina",5,4.0,1,1.0,1.0,283.0,0,,2018-02-08T17:35:20Z,-34.580293,-58.427622,1,0101000020E61000006A865451BC364DC0828C800A474A41C0,,,PALERMO! habitación individual,Apartment,ARS,nightly
123,22243532,162536075,Private room,,,,"Caballito, Buenos Aires, Argentina",3,4.5,1,1.0,1.0,222.0,0,,2018-02-08T17:16:23Z,-34.624859,-58.439032,1,0101000020E6100000E0F2583332384DC03ECE3461FB4F41C0,,,Cuarto Privado en Caballito,Apartment,ARS,nightly
124,20945934,150615798,Private room,,,,"Villa Urquiza, Buenos Aires, Argentina",2,,1,1.0,1.0,202.0,0,,2018-02-08T17:07:27Z,-34.579998,-58.469966,1,0101000020E6100000B01D8CD8273C4DC06ADFDC5F3D4A41C0,,,Habitación en Belgrano,Apartment,ARS,nightly
125,22895148,33456149,Private room,,,,"Monte Castro, Buenos Aires, Argentina",0,,3,1.0,1.0,242.0,0,,2018-02-08T22:17:46Z,-34.619274,-58.515061,1,0101000020E6100000F838D384ED414DC0ADA1D45E444F41C0,,,LOG - Leono Organic Garden,House,ARS,nightly
126,12931950,69975974,Private room,,,,"Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina",9,5.0,1,1.0,1.0,262.0,0,,2018-02-08T18:20:59Z,-34.642419,-58.371192,1,0101000020E6100000B7442E38832F4DC01DAA29C93A5241C0,,,Habitación en edificio antiguo,Apartment,ARS,nightly
127,15665310,101136907,Private room,,,,"Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina",36,4.5,1,1.0,1.0,303.0,0,,2018-02-08T17:18:55Z,-34.589421,-58.404982,1,0101000020E6100000FDBB3E73D6334DC0AE49B725724B41C0,,,Habitacion privada luminosa recoleta,Apartment,ARS,nightly
128,21595997,157073208,Private room,,,,"Almagro, Buenos Aires, Argentina",3,4.5,2,1.0,1.0,222.0,0,,2018-02-08T17:16:23Z,-34.603777,-58.418713,1,0101000020E61000007CB4386398354DC0DB899290484D41C0,,,"Privated room   near subway,Almagro",Other,ARS,nightly
129,19681115,115859443,Private room,,,,"Belgrano, Buenos Aires, Argentina",0,,1,1.0,1.0,202.0,0,,2018-02-08T17:07:27Z,-34.556807,-58.457413,1,0101000020E6100000F4E159828C3A4DC08997A773454741C0,,,HABITACIÓN EN CASA DE FAMILIA,House,ARS,nightly
130,504435,2487829,Private room,,,,"Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina",4,5.0,2,1.0,3.0,202.0,0,,2018-02-08T17:07:27Z,-34.552362,-58.485831,1,0101000020E61000000531D0B52F3E4DC0CEC64ACCB34641C0,,,room with 2 single beds into a oasis of the city,House,ARS,nightly
131,19565810,18200897,Private room,,,,"Villa Urquiza, Buenos Aires, Argentina",0,,1,1.0,1.0,202.0,0,,2018-02-08T17:07:27Z,-34.575585,-58.49379,1,0101000020E6100000C18BBE82343F4DC0B988EFC4AC4941C0,,,Departamento para amigos y gente linda.,Apartment,ARS,nightly
132,5651912,4588264,Private room,,,,"Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina",7,5.0,1,3.0,2.5,242.0,0,,2018-02-08T17:16:23Z,-34.631205,-58.424157,1,0101000020E61000004BAFCDC64A364DC02D095053CB5041C0,,,Habitacion privada amplia c/terraza,House,ARS,nightly
133,21695773,22156990,Private room,,,,"Colegiales, Buenos Aires, Argentina",2,,1,1.0,1.0,202.0,0,,2018-02-08T17:07:27Z,-34.573252,-58.450333,1,0101000020E6100000A0A70183A4394DC0EC2E5052604941C0,,,My beautiful cozy house,House,ARS,nightly
134,19458304,2487829,Private room,,,,"Saavedra, Buenos Aires, Argentina",0,,1,1.0,1.0,202.0,0,,2018-02-08T17:07:27Z,-34.552899,-58.485453,1,0101000020E61000005F5FEB52233E4DC0DC7EF964C54641C0,,,your room with single bed into a oasis of the city,House,ARS,nightly
